location_id,aisle,bay,level,x,y
STAGING,0,0,0,-12.0,0.0
A01-B01-L1,1,1,1,0.0,0.0
A01-B01-L2,1,1,2,0.0,0.0
A01-B02-L1,1,2,1,0.0,10.0
A01-B02-L2,1,2,2,0.0,10.0
A01-B03-L1,1,3,1,0.0,20.0
A01-B03-L2,1,3,2,0.0,20.0
A01-B04-L1,1,4,1,0.0,30.0
A01-B04-L2,1,4,2,0.0,30.0
A01-B05-L1,1,5,1,0.0,40.0
A01-B05-L2,1,5,2,0.0,40.0
A01-B06-L1,1,6,1,0.0,50.0
A01-B06-L2,1,6,2,0.0,50.0
A01-B07-L1,1,7,1,0.0,60.0
A01-B07-L2,1,7,2,0.0,60.0
A01-B08-L1,1,8,1,0.0,70.0
A01-B08-L2,1,8,2,0.0,70.0
A01-B09-L1,1,9,1,0.0,80.0
A01-B09-L2,1,9,2,0.0,80.0
A01-B10-L1,1,10,1,0.0,90.0
A01-B10-L2,1,10,2,0.0,90.0
A02-B01-L1,2,1,1,12.0,0.0
A02-B01-L2,2,1,2,12.0,0.0
A02-B02-L1,2,2,1,12.0,10.0
A02-B02-L2,2,2,2,12.0,10.0
A02-B03-L1,2,3,1,12.0,20.0
A02-B03-L2,2,3,2,12.0,20.0
A02-B04-L1,2,4,1,12.0,30.0
A02-B04-L2,2,4,2,12.0,30.0
A02-B05-L1,2,5,1,12.0,40.0
A02-B05-L2,2,5,2,12.0,40.0
A02-B06-L1,2,6,1,12.0,50.0
A02-B06-L2,2,6,2,12.0,50.0
A02-B07-L1,2,7,1,12.0,60.0
A02-B07-L2,2,7,2,12.0,60.0
A02-B08-L1,2,8,1,12.0,70.0
A02-B08-L2,2,8,2,12.0,70.0
A02-B09-L1,2,9,1,12.0,80.0
A02-B09-L2,2,9,2,12.0,80.0
A02-B10-L1,2,10,1,12.0,90.0
A02-B10-L2,2,10,2,12.0,90.0
A03-B01-L1,3,1,1,24.0,0.0
A03-B01-L2,3,1,2,24.0,0.0
A03-B02-L1,3,2,1,24.0,10.0
A03-B02-L2,3,2,2,24.0,10.0
A03-B03-L1,3,3,1,24.0,20.0
A03-B03-L2,3,3,2,24.0,20.0
A03-B04-L1,3,4,1,24.0,30.0
A03-B04-L2,3,4,2,24.0,30.0
A03-B05-L1,3,5,1,24.0,40.0
A03-B05-L2,3,5,2,24.0,40.0
A03-B06-L1,3,6,1,24.0,50.0
A03-B06-L2,3,6,2,24.0,50.0
A03-B07-L1,3,7,1,24.0,60.0
A03-B07-L2,3,7,2,24.0,60.0
A03-B08-L1,3,8,1,24.0,70.0
A03-B08-L2,3,8,2,24.0,70.0
A03-B09-L1,3,9,1,24.0,80.0
A03-B09-L2,3,9,2,24.0,80.0
A03-B10-L1,3,10,1,24.0,90.0
A03-B10-L2,3,10,2,24.0,90.0
A04-B01-L1,4,1,1,36.0,0.0
A04-B01-L2,4,1,2,36.0,0.0
A04-B02-L1,4,2,1,36.0,10.0
A04-B02-L2,4,2,2,36.0,10.0
A04-B03-L1,4,3,1,36.0,20.0
A04-B03-L2,4,3,2,36.0,20.0
A04-B04-L1,4,4,1,36.0,30.0
A04-B04-L2,4,4,2,36.0,30.0
A04-B05-L1,4,5,1,36.0,40.0
A04-B05-L2,4,5,2,36.0,40.0
A04-B06-L1,4,6,1,36.0,50.0
A04-B06-L2,4,6,2,36.0,50.0
A04-B07-L1,4,7,1,36.0,60.0
A04-B07-L2,4,7,2,36.0,60.0
A04-B08-L1,4,8,1,36.0,70.0
A04-B08-L2,4,8,2,36.0,70.0
A04-B09-L1,4,9,1,36.0,80.0
A04-B09-L2,4,9,2,36.0,80.0
A04-B10-L1,4,10,1,36.0,90.0
A04-B10-L2,4,10,2,36.0,90.0
A05-B01-L1,5,1,1,48.0,0.0
A05-B01-L2,5,1,2,48.0,0.0
A05-B02-L1,5,2,1,48.0,10.0
A05-B02-L2,5,2,2,48.0,10.0
A05-B03-L1,5,3,1,48.0,20.0
A05-B03-L2,5,3,2,48.0,20.0
A05-B04-L1,5,4,1,48.0,30.0
A05-B04-L2,5,4,2,48.0,30.0
A05-B05-L1,5,5,1,48.0,40.0
A05-B05-L2,5,5,2,48.0,40.0
A05-B06-L1,5,6,1,48.0,50.0
A05-B06-L2,5,6,2,48.0,50.0
A05-B07-L1,5,7,1,48.0,60.0
A05-B07-L2,5,7,2,48.0,60.0
A05-B08-L1,5,8,1,48.0,70.0
A05-B08-L2,5,8,2,48.0,70.0
A05-B09-L1,5,9,1,48.0,80.0
A05-B09-L2,5,9,2,48.0,80.0
A05-B10-L1,5,10,1,48.0,90.0
A05-B10-L2,5,10,2,48.0,90.0
A06-B01-L1,6,1,1,60.0,0.0
A06-B01-L2,6,1,2,60.0,0.0
A06-B02-L1,6,2,1,60.0,10.0
A06-B02-L2,6,2,2,60.0,10.0
A06-B03-L1,6,3,1,60.0,20.0
A06-B03-L2,6,3,2,60.0,20.0
A06-B04-L1,6,4,1,60.0,30.0
A06-B04-L2,6,4,2,60.0,30.0
A06-B05-L1,6,5,1,60.0,40.0
A06-B05-L2,6,5,2,60.0,40.0
A06-B06-L1,6,6,1,60.0,50.0
A06-B06-L2,6,6,2,60.0,50.0
A06-B07-L1,6,7,1,60.0,60.0
A06-B07-L2,6,7,2,60.0,60.0
A06-B08-L1,6,8,1,60.0,70.0
A06-B08-L2,6,8,2,60.0,70.0
A06-B09-L1,6,9,1,60.0,80.0
A06-B09-L2,6,9,2,60.0,80.0
A06-B10-L1,6,10,1,60.0,90.0
A06-B10-L2,6,10,2,60.0,90.0
A07-B01-L1,7,1,1,72.0,0.0
A07-B01-L2,7,1,2,72.0,0.0
A07-B02-L1,7,2,1,72.0,10.0
A07-B02-L2,7,2,2,72.0,10.0
A07-B03-L1,7,3,1,72.0,20.0
A07-B03-L2,7,3,2,72.0,20.0
A07-B04-L1,7,4,1,72.0,30.0
A07-B04-L2,7,4,2,72.0,30.0
A07-B05-L1,7,5,1,72.0,40.0
A07-B05-L2,7,5,2,72.0,40.0
A07-B06-L1,7,6,1,72.0,50.0
A07-B06-L2,7,6,2,72.0,50.0
A07-B07-L1,7,7,1,72.0,60.0
A07-B07-L2,7,7,2,72.0,60.0
A07-B08-L1,7,8,1,72.0,70.0
A07-B08-L2,7,8,2,72.0,70.0
A07-B09-L1,7,9,1,72.0,80.0
A07-B09-L2,7,9,2,72.0,80.0
A07-B10-L1,7,10,1,72.0,90.0
A07-B10-L2,7,10,2,72.0,90.0
A08-B01-L1,8,1,1,84.0,0.0
A08-B01-L2,8,1,2,84.0,0.0
A08-B02-L1,8,2,1,84.0,10.0
A08-B02-L2,8,2,2,84.0,10.0
A08-B03-L1,8,3,1,84.0,20.0
A08-B03-L2,8,3,2,84.0,20.0
A08-B04-L1,8,4,1,84.0,30.0
A08-B04-L2,8,4,2,84.0,30.0
A08-B05-L1,8,5,1,84.0,40.0
A08-B05-L2,8,5,2,84.0,40.0
A08-B06-L1,8,6,1,84.0,50.0
A08-B06-L2,8,6,2,84.0,50.0
A08-B07-L1,8,7,1,84.0,60.0
A08-B07-L2,8,7,2,84.0,60.0
A08-B08-L1,8,8,1,84.0,70.0
A08-B08-L2,8,8,2,84.0,70.0
A08-B09-L1,8,9,1,84.0,80.0
A08-B09-L2,8,9,2,84.0,80.0
A08-B10-L1,8,10,1,84.0,90.0
A08-B10-L2,8,10,2,84.0,90.0
A09-B01-L1,9,1,1,96.0,0.0
A09-B01-L2,9,1,2,96.0,0.0
A09-B02-L1,9,2,1,96.0,10.0
A09-B02-L2,9,2,2,96.0,10.0
A09-B03-L1,9,3,1,96.0,20.0
A09-B03-L2,9,3,2,96.0,20.0
A09-B04-L1,9,4,1,96.0,30.0
A09-B04-L2,9,4,2,96.0,30.0
A09-B05-L1,9,5,1,96.0,40.0
A09-B05-L2,9,5,2,96.0,40.0
A09-B06-L1,9,6,1,96.0,50.0
A09-B06-L2,9,6,2,96.0,50.0
A09-B07-L1,9,7,1,96.0,60.0
A09-B07-L2,9,7,2,96.0,60.0
A09-B08-L1,9,8,1,96.0,70.0
A09-B08-L2,9,8,2,96.0,70.0
A09-B09-L1,9,9,1,96.0,80.0
A09-B09-L2,9,9,2,96.0,80.0
A09-B10-L1,9,10,1,96.0,90.0
A09-B10-L2,9,10,2,96.0,90.0
A10-B01-L1,10,1,1,108.0,0.0
A10-B01-L2,10,1,2,108.0,0.0
A10-B02-L1,10,2,1,108.0,10.0
A10-B02-L2,10,2,2,108.0,10.0
A10-B03-L1,10,3,1,108.0,20.0
A10-B03-L2,10,3,2,108.0,20.0
A10-B04-L1,10,4,1,108.0,30.0
A10-B04-L2,10,4,2,108.0,30.0
A10-B05-L1,10,5,1,108.0,40.0
A10-B05-L2,10,5,2,108.0,40.0
A10-B06-L1,10,6,1,108.0,50.0
A10-B06-L2,10,6,2,108.0,50.0
A10-B07-L1,10,7,1,108.0,60.0
A10-B07-L2,10,7,2,108.0,60.0
A10-B08-L1,10,8,1,108.0,70.0
A10-B08-L2,10,8,2,108.0,70.0
A10-B09-L1,10,9,1,108.0,80.0
A10-B09-L2,10,9,2,108.0,80.0
A10-B10-L1,10,10,1,108.0,90.0
A10-B10-L2,10,10,2,108.0,90.0
