location_id,aisle,bay,level
A01-B01-L1,A01,1,1
A01-B01-L2,A01,1,2
A01-B02-L1,A01,2,1
A01-B02-L2,A01,2,2
A01-B03-L1,A01,3,1
A01-B03-L2,A01,3,2
A01-B04-L1,A01,4,1
A01-B04-L2,A01,4,2
A01-B05-L1,A01,5,1
A01-B05-L2,A01,5,2
A01-B06-L1,A01,6,1
A01-B06-L2,A01,6,2
A01-B07-L1,A01,7,1
A01-B07-L2,A01,7,2
A01-B08-L1,A01,8,1
A01-B08-L2,A01,8,2
A01-B09-L1,A01,9,1
A01-B09-L2,A01,9,2
A01-B10-L1,A01,10,1
A01-B10-L2,A01,10,2
A02-B01-L1,A02,1,1
A02-B01-L2,A02,1,2
A02-B02-L1,A02,2,1
A02-B02-L2,A02,2,2
A02-B03-L1,A02,3,1
A02-B03-L2,A02,3,2
A02-B04-L1,A02,4,1
A02-B04-L2,A02,4,2
A02-B05-L1,A02,5,1
A02-B05-L2,A02,5,2
A02-B06-L1,A02,6,1
A02-B06-L2,A02,6,2
A02-B07-L1,A02,7,1
A02-B07-L2,A02,7,2
A02-B08-L1,A02,8,1
A02-B08-L2,A02,8,2
A02-B09-L1,A02,9,1
A02-B09-L2,A02,9,2
A02-B10-L1,A02,10,1
A02-B10-L2,A02,10,2
A03-B01-L1,A03,1,1
A03-B01-L2,A03,1,2
A03-B02-L1,A03,2,1
A03-B02-L2,A03,2,2
A03-B03-L1,A03,3,1
A03-B03-L2,A03,3,2
A03-B04-L1,A03,4,1
A03-B04-L2,A03,4,2
A03-B05-L1,A03,5,1
A03-B05-L2,A03,5,2
A03-B06-L1,A03,6,1
A03-B06-L2,A03,6,2
A03-B07-L1,A03,7,1
A03-B07-L2,A03,7,2
A03-B08-L1,A03,8,1
A03-B08-L2,A03,8,2
A03-B09-L1,A03,9,1
A03-B09-L2,A03,9,2
A03-B10-L1,A03,10,1
A03-B10-L2,A03,10,2
A04-B01-L1,A04,1,1
A04-B01-L2,A04,1,2
A04-B02-L1,A04,2,1
A04-B02-L2,A04,2,2
A04-B03-L1,A04,3,1
A04-B03-L2,A04,3,2
A04-B04-L1,A04,4,1
A04-B04-L2,A04,4,2
A04-B05-L1,A04,5,1
A04-B05-L2,A04,5,2
A04-B06-L1,A04,6,1
A04-B06-L2,A04,6,2
A04-B07-L1,A04,7,1
A04-B07-L2,A04,7,2
A04-B08-L1,A04,8,1
A04-B08-L2,A04,8,2
A04-B09-L1,A04,9,1
A04-B09-L2,A04,9,2
A04-B10-L1,A04,10,1
A04-B10-L2,A04,10,2
A05-B01-L1,A05,1,1
A05-B01-L2,A05,1,2
A05-B02-L1,A05,2,1
A05-B02-L2,A05,2,2
A05-B03-L1,A05,3,1
A05-B03-L2,A05,3,2
A05-B04-L1,A05,4,1
A05-B04-L2,A05,4,2
A05-B05-L1,A05,5,1
A05-B05-L2,A05,5,2
A05-B06-L1,A05,6,1
A05-B06-L2,A05,6,2
A05-B07-L1,A05,7,1
A05-B07-L2,A05,7,2
A05-B08-L1,A05,8,1
A05-B08-L2,A05,8,2
A05-B09-L1,A05,9,1
A05-B09-L2,A05,9,2
A05-B10-L1,A05,10,1
A05-B10-L2,A05,10,2
A06-B01-L1,A06,1,1
A06-B01-L2,A06,1,2
A06-B02-L1,A06,2,1
A06-B02-L2,A06,2,2
A06-B03-L1,A06,3,1
A06-B03-L2,A06,3,2
A06-B04-L1,A06,4,1
A06-B04-L2,A06,4,2
A06-B05-L1,A06,5,1
A06-B05-L2,A06,5,2
A06-B06-L1,A06,6,1
A06-B06-L2,A06,6,2
A06-B07-L1,A06,7,1
A06-B07-L2,A06,7,2
A06-B08-L1,A06,8,1
A06-B08-L2,A06,8,2
A06-B09-L1,A06,9,1
A06-B09-L2,A06,9,2
A06-B10-L1,A06,10,1
A06-B10-L2,A06,10,2
A07-B01-L1,A07,1,1
A07-B01-L2,A07,1,2
A07-B02-L1,A07,2,1
A07-B02-L2,A07,2,2
A07-B03-L1,A07,3,1
A07-B03-L2,A07,3,2
A07-B04-L1,A07,4,1
A07-B04-L2,A07,4,2
A07-B05-L1,A07,5,1
A07-B05-L2,A07,5,2
A07-B06-L1,A07,6,1
A07-B06-L2,A07,6,2
A07-B07-L1,A07,7,1
A07-B07-L2,A07,7,2
A07-B08-L1,A07,8,1
A07-B08-L2,A07,8,2
A07-B09-L1,A07,9,1
A07-B09-L2,A07,9,2
A07-B10-L1,A07,10,1
A07-B10-L2,A07,10,2
A08-B01-L1,A08,1,1
A08-B01-L2,A08,1,2
A08-B02-L1,A08,2,1
A08-B02-L2,A08,2,2
A08-B03-L1,A08,3,1
A08-B03-L2,A08,3,2
A08-B04-L1,A08,4,1
A08-B04-L2,A08,4,2
A08-B05-L1,A08,5,1
A08-B05-L2,A08,5,2
A08-B06-L1,A08,6,1
A08-B06-L2,A08,6,2
A08-B07-L1,A08,7,1
A08-B07-L2,A08,7,2
A08-B08-L1,A08,8,1
A08-B08-L2,A08,8,2
A08-B09-L1,A08,9,1
A08-B09-L2,A08,9,2
A08-B10-L1,A08,10,1
A08-B10-L2,A08,10,2
A09-B01-L1,A09,1,1
A09-B01-L2,A09,1,2
A09-B02-L1,A09,2,1
A09-B02-L2,A09,2,2
A09-B03-L1,A09,3,1
A09-B03-L2,A09,3,2
A09-B04-L1,A09,4,1
A09-B04-L2,A09,4,2
A09-B05-L1,A09,5,1
A09-B05-L2,A09,5,2
A09-B06-L1,A09,6,1
A09-B06-L2,A09,6,2
A09-B07-L1,A09,7,1
A09-B07-L2,A09,7,2
A09-B08-L1,A09,8,1
A09-B08-L2,A09,8,2
A09-B09-L1,A09,9,1
A09-B09-L2,A09,9,2
A09-B10-L1,A09,10,1
A09-B10-L2,A09,10,2
A10-B01-L1,A10,1,1
A10-B01-L2,A10,1,2
A10-B02-L1,A10,2,1
A10-B02-L2,A10,2,2
A10-B03-L1,A10,3,1
A10-B03-L2,A10,3,2
A10-B04-L1,A10,4,1
A10-B04-L2,A10,4,2
A10-B05-L1,A10,5,1
A10-B05-L2,A10,5,2
A10-B06-L1,A10,6,1
A10-B06-L2,A10,6,2
A10-B07-L1,A10,7,1
A10-B07-L2,A10,7,2
A10-B08-L1,A10,8,1
A10-B08-L2,A10,8,2
A10-B09-L1,A10,9,1
A10-B09-L2,A10,9,2
A10-B10-L1,A10,10,1
A10-B10-L2,A10,10,2
