order_id,line,location_id,sku,qty
ORD-1001,1,A01-B01-L1,SKU-0001,4
ORD-1001,2,A01-B07-L1,SKU-0013,4
ORD-1001,3,A01-B07-L1,SKU-0202,6
ORD-1001,4,A01-B07-L2,SKU-0014,10
ORD-1001,5,A01-B09-L1,SKU-0017,4
ORD-1001,6,A02-B03-L1,SKU-0025,5
ORD-1001,7,A02-B06-L1,SKU-0031,4
ORD-1001,8,A06-B04-L1,SKU-0107,11
ORD-1001,9,A07-B08-L2,SKU-0136,6
ORD-1001,10,A09-B05-L1,SKU-0169,11
ORD-1001,11,A03-B05-L2,SKU-0050,12
ORD-1001,12,A02-B04-L1,SKU-0027,4
ORD-1001,13,A01-B04-L2,SKU-0008,7
ORD-1002,1,A01-B06-L1,SKU-0011,2
ORD-1002,2,A02-B03-L2,SKU-0026,12
ORD-1002,3,A04-B01-L2,SKU-0062,9
ORD-1002,4,A04-B06-L2,SKU-0072,8
ORD-1002,5,A06-B07-L2,SKU-0114,10
ORD-1002,6,A10-B01-L1,SKU-0181,1
ORD-1002,7,A10-B03-L2,SKU-0186,10
ORD-1002,8,A02-B07-L2,SKU-0204,1
ORD-1002,9,A04-B09-L2,SKU-0078,9
ORD-1003,1,A03-B05-L1,SKU-0049,12
ORD-1003,2,A03-B10-L1,SKU-0059,5
ORD-1003,3,A04-B01-L1,SKU-0061,12
ORD-1003,4,A04-B01-L2,SKU-0062,5
ORD-1003,5,A04-B03-L1,SKU-0065,6
ORD-1003,6,A04-B03-L2,SKU-0066,5
ORD-1003,7,A04-B04-L1,SKU-0067,5
ORD-1003,8,A04-B06-L1,SKU-0071,10
ORD-1003,9,A04-B06-L2,SKU-0072,10
ORD-1003,10,A04-B07-L1,SKU-0073,9
ORD-1003,11,A04-B08-L2,SKU-0076,11
ORD-1003,12,A04-B09-L1,SKU-0077,1
ORD-1003,13,A04-B09-L2,SKU-0078,2
ORD-1003,14,A04-B10-L1,SKU-0079,6
ORD-1003,15,A05-B07-L2,SKU-0094,1
ORD-1003,16,A06-B07-L2,SKU-0114,1
ORD-1003,17,A10-B01-L1,SKU-0181,7
ORD-1003,18,A10-B01-L1,SKU-0209,2
ORD-1003,19,A10-B10-L1,SKU-0224,12
ORD-1003,20,A10-B06-L1,SKU-0191,2
ORD-1003,21,A04-B04-L2,SKU-0068,9
ORD-1003,22,A09-B03-L1,SKU-0165,7
ORD-1003,23,A10-B05-L2,SKU-0190,2
ORD-1003,24,A04-B02-L1,SKU-0063,6
ORD-1003,25,A04-B05-L2,SKU-0070,11
ORD-1004,1,A01-B06-L1,SKU-0011,2
ORD-1004,2,A03-B03-L2,SKU-0046,4
ORD-1004,3,A03-B06-L2,SKU-0052,12
ORD-1004,4,A03-B10-L1,SKU-0059,11
ORD-1004,5,A03-B10-L2,SKU-0060,1
ORD-1004,6,A04-B01-L1,SKU-0061,2
ORD-1004,7,A04-B02-L1,SKU-0208,4
ORD-1004,8,A04-B05-L2,SKU-0070,4
ORD-1004,9,A04-B09-L1,SKU-0077,6
ORD-1004,10,A04-B09-L2,SKU-0078,4
ORD-1004,11,A04-B10-L2,SKU-0228,1
ORD-1004,12,A04-B10-L2,SKU-0080,8
ORD-1004,13,A06-B07-L2,SKU-0114,10
ORD-1004,14,A10-B01-L1,SKU-0181,9
ORD-1004,15,A03-B08-L2,SKU-0056,6
ORD-1004,16,A04-B05-L1,SKU-0069,9
ORD-1004,17,A03-B07-L2,SKU-0054,1
ORD-1004,18,A04-B04-L1,SKU-0067,11
ORD-1005,1,A01-B05-L2,SKU-0010,11
ORD-1005,2,A02-B02-L2,SKU-0024,6
ORD-1005,3,A02-B03-L2,SKU-0026,10
ORD-1005,4,A02-B04-L1,SKU-0027,1
ORD-1005,5,A02-B05-L2,SKU-0030,8
ORD-1005,6,A02-B07-L2,SKU-0230,8
ORD-1005,7,A02-B08-L1,SKU-0035,5
ORD-1005,8,A02-B09-L2,SKU-0038,10
ORD-1005,9,A02-B10-L1,SKU-0039,8
ORD-1005,10,A05-B06-L2,SKU-0227,6
ORD-1005,11,A06-B08-L1,SKU-0115,9
ORD-1005,12,A08-B06-L1,SKU-0151,12
ORD-1005,13,A02-B02-L1,SKU-0023,11
ORD-1005,14,A09-B06-L2,SKU-0172,8
ORD-1005,15,A02-B04-L2,SKU-0028,5
ORD-1005,16,A02-B10-L2,SKU-0040,3
ORD-1006,1,A02-B02-L1,SKU-0023,1
ORD-1006,2,A02-B02-L2,SKU-0024,12
ORD-1006,3,A02-B03-L2,SKU-0026,11
ORD-1006,4,A02-B04-L2,SKU-0028,1
ORD-1006,5,A02-B07-L1,SKU-0033,9
ORD-1006,6,A02-B07-L2,SKU-0230,2
ORD-1006,7,A02-B08-L1,SKU-0035,11
ORD-1006,8,A02-B10-L1,SKU-0039,5
ORD-1006,9,A03-B02-L1,SKU-0043,9
ORD-1006,10,A07-B04-L2,SKU-0128,10
ORD-1006,11,A07-B09-L2,SKU-0138,8
ORD-1006,12,A09-B03-L1,SKU-0165,12
ORD-1006,13,A09-B06-L2,SKU-0172,12
ORD-1006,14,A09-B10-L1,SKU-0179,10
ORD-1006,15,A10-B03-L2,SKU-0186,11
ORD-1006,16,A02-B05-L2,SKU-0030,2
ORD-1006,17,A03-B06-L2,SKU-0052,8
ORD-1006,18,A09-B10-L2,SKU-0180,6
ORD-1006,19,A02-B01-L2,SKU-0022,10
ORD-1006,20,A09-B04-L1,SKU-0167,6
ORD-1007,1,A01-B04-L2,SKU-0229,3
ORD-1007,2,A01-B05-L2,SKU-0010,3
ORD-1007,3,A01-B08-L1,SKU-0015,10
ORD-1007,4,A02-B01-L1,SKU-0021,12
ORD-1007,5,A02-B04-L2,SKU-0028,8
ORD-1007,6,A02-B05-L1,SKU-0029,9
ORD-1007,7,A02-B05-L2,SKU-0030,1
ORD-1007,8,A02-B06-L1,SKU-0031,12
ORD-1007,9,A02-B07-L2,SKU-0204,2
ORD-1007,10,A02-B08-L1,SKU-0035,9
ORD-1007,11,A02-B09-L2,SKU-0038,4
ORD-1007,12,A02-B10-L1,SKU-0039,4
ORD-1007,13,A02-B10-L2,SKU-0040,11
ORD-1007,14,A07-B08-L2,SKU-0136,5
ORD-1007,15,A08-B07-L2,SKU-0154,2
ORD-1007,16,A09-B03-L1,SKU-0165,5
ORD-1007,17,A09-B04-L1,SKU-0167,7
ORD-1007,18,A10-B03-L2,SKU-0186,8
ORD-1007,19,A10-B06-L2,SKU-0201,9
ORD-1007,20,A02-B01-L2,SKU-0022,1
ORD-1007,21,A02-B02-L2,SKU-0024,5
ORD-1007,22,A02-B03-L2,SKU-0026,2
ORD-1007,23,A02-B07-L2,SKU-0230,7
ORD-1007,24,A02-B07-L2,SKU-0034,6
ORD-1007,25,A01-B04-L1,SKU-0007,5
ORD-1008,1,A03-B01-L2,SKU-0042,6
ORD-1008,2,A03-B03-L2,SKU-0046,6
ORD-1008,3,A03-B04-L1,SKU-0047,6
ORD-1008,4,A03-B04-L2,SKU-0048,11
ORD-1008,5,A03-B05-L1,SKU-0049,1
ORD-1008,6,A03-B07-L1,SKU-0053,11
ORD-1008,7,A03-B07-L2,SKU-0054,6
ORD-1008,8,A03-B08-L1,SKU-0055,3
ORD-1008,9,A03-B08-L2,SKU-0056,4
ORD-1008,10,A03-B09-L1,SKU-0057,12
ORD-1008,11,A03-B10-L2,SKU-0060,11
ORD-1008,12,A07-B07-L1,SKU-0214,8
ORD-1008,13,A09-B08-L1,SKU-0175,4
ORD-1008,14,A10-B06-L2,SKU-0201,2
ORD-1008,15,A03-B02-L1,SKU-0043,9
ORD-1008,16,A03-B03-L1,SKU-0045,2
ORD-1008,17,A09-B10-L2,SKU-0180,8
ORD-1008,18,A09-B07-L1,SKU-0218,2
ORD-1009,1,A04-B03-L1,SKU-0065,3
ORD-1009,2,A04-B04-L1,SKU-0067,9
ORD-1009,3,A04-B10-L1,SKU-0079,12
ORD-1009,4,A04-B10-L2,SKU-0080,6
ORD-1009,5,A06-B01-L2,SKU-0215,9
ORD-1009,6,A08-B02-L1,SKU-0143,7
ORD-1009,7,A08-B03-L1,SKU-0145,3
ORD-1009,8,A08-B04-L1,SKU-0147,12
ORD-1009,9,A08-B07-L1,SKU-0153,6
ORD-1009,10,A08-B07-L2,SKU-0154,10
ORD-1009,11,A08-B09-L2,SKU-0158,6
ORD-1009,12,A08-B09-L2,SKU-0220,6
ORD-1009,13,A08-B10-L2,SKU-0160,7
ORD-1009,14,A09-B07-L1,SKU-0226,11
ORD-1009,15,A08-B05-L1,SKU-0149,9
ORD-1009,16,A08-B08-L2,SKU-0156,7
ORD-1009,17,A04-B05-L1,SKU-0069,1
ORD-1009,18,A08-B10-L1,SKU-0159,12
ORD-1009,19,A08-B01-L2,SKU-0142,10
ORD-1010,1,A01-B04-L1,SKU-0007,7
ORD-1010,2,A01-B04-L2,SKU-0211,7
ORD-1010,3,A01-B07-L1,SKU-0202,10
ORD-1010,4,A05-B02-L1,SKU-0225,11
ORD-1010,5,A05-B06-L1,SKU-0091,3
ORD-1010,6,A05-B07-L1,SKU-0205,12
ORD-1010,7,A05-B08-L1,SKU-0207,8
ORD-1010,8,A08-B07-L1,SKU-0153,5
ORD-1010,9,A05-B05-L2,SKU-0090,8
ORD-1010,10,A05-B06-L2,SKU-0227,12
ORD-1011,1,A01-B07-L2,SKU-0014,3
ORD-1011,2,A09-B05-L2,SKU-0217,3
ORD-1011,3,A09-B08-L2,SKU-0176,6
ORD-1011,4,A09-B09-L1,SKU-0177,2
ORD-1011,5,A09-B09-L2,SKU-0203,11
ORD-1012,1,A08-B10-L2,SKU-0160,5
ORD-1012,2,A09-B01-L1,SKU-0161,9
ORD-1012,3,A09-B05-L1,SKU-0169,3
ORD-1012,4,A09-B08-L2,SKU-0176,5
ORD-1012,5,A09-B08-L1,SKU-0175,7
ORD-1012,6,A09-B01-L2,SKU-0162,5
ORD-1013,1,A01-B02-L2,SKU-0004,2
ORD-1013,2,A05-B01-L2,SKU-0082,6
ORD-1013,3,A05-B04-L1,SKU-0087,12
ORD-1013,4,A05-B06-L1,SKU-0091,10
ORD-1013,5,A08-B09-L1,SKU-0157,10
ORD-1013,6,A10-B10-L1,SKU-0224,10
ORD-1013,7,A05-B08-L1,SKU-0095,1
ORD-1013,8,A03-B04-L2,SKU-0048,6
ORD-1014,1,A01-B10-L1,SKU-0019,11
ORD-1014,2,A02-B02-L2,SKU-0024,10
ORD-1014,3,A02-B06-L1,SKU-0031,5
ORD-1014,4,A02-B09-L1,SKU-0037,1
ORD-1014,5,A03-B02-L1,SKU-0043,10
ORD-1014,6,A07-B09-L2,SKU-0138,11
ORD-1014,7,A08-B04-L1,SKU-0147,3
ORD-1014,8,A09-B04-L1,SKU-0167,1
ORD-1014,9,A09-B06-L2,SKU-0172,7
ORD-1014,10,A09-B08-L1,SKU-0175,6
ORD-1014,11,A02-B10-L1,SKU-0039,9
ORD-1014,12,A02-B03-L2,SKU-0026,8
ORD-1014,13,A07-B05-L2,SKU-0130,12
ORD-1014,14,A02-B04-L2,SKU-0028,5
ORD-1015,1,A01-B06-L1,SKU-0011,2
ORD-1015,2,A04-B06-L1,SKU-0071,11
ORD-1015,3,A04-B09-L1,SKU-0077,7
ORD-1015,4,A05-B09-L1,SKU-0097,9
ORD-1015,5,A06-B02-L2,SKU-0104,1
ORD-1015,6,A06-B05-L1,SKU-0109,7
ORD-1015,7,A06-B07-L2,SKU-0114,5
ORD-1015,8,A07-B09-L2,SKU-0138,9
ORD-1015,9,A04-B07-L2,SKU-0074,2
ORD-1015,10,A06-B04-L1,SKU-0107,4
ORD-1015,11,A10-B06-L1,SKU-0191,8
ORD-1016,1,A02-B09-L1,SKU-0037,11
ORD-1016,2,A03-B04-L1,SKU-0047,10
ORD-1016,3,A05-B03-L1,SKU-0085,6
ORD-1016,4,A05-B05-L2,SKU-0090,1
ORD-1016,5,A05-B06-L2,SKU-0092,12
ORD-1016,6,A05-B06-L2,SKU-0227,6
ORD-1016,7,A05-B07-L1,SKU-0093,1
ORD-1016,8,A05-B08-L1,SKU-0095,6
ORD-1016,9,A06-B02-L1,SKU-0103,3
ORD-1016,10,A08-B08-L1,SKU-0155,6
ORD-1016,11,A08-B08-L2,SKU-0156,11
ORD-1016,12,A08-B10-L1,SKU-0159,8
ORD-1016,13,A05-B02-L1,SKU-0225,11
ORD-1016,14,A09-B08-L2,SKU-0176,5
ORD-1016,15,A05-B09-L2,SKU-0098,11
ORD-1016,16,A01-B02-L2,SKU-0004,9
ORD-1017,1,A02-B03-L2,SKU-0026,6
ORD-1017,2,A02-B07-L2,SKU-0204,11
ORD-1017,3,A03-B04-L1,SKU-0047,5
ORD-1017,4,A03-B06-L2,SKU-0052,12
ORD-1017,5,A03-B07-L1,SKU-0053,7
ORD-1017,6,A03-B07-L2,SKU-0054,3
ORD-1017,7,A03-B08-L1,SKU-0055,11
ORD-1017,8,A05-B03-L2,SKU-0086,12
ORD-1017,9,A07-B01-L1,SKU-0121,11
ORD-1017,10,A07-B02-L1,SKU-0123,8
ORD-1017,11,A07-B03-L2,SKU-0126,6
ORD-1017,12,A07-B06-L1,SKU-0131,10
ORD-1017,13,A07-B07-L1,SKU-0133,9
ORD-1017,14,A07-B07-L1,SKU-0214,6
ORD-1017,15,A07-B09-L1,SKU-0137,7
ORD-1017,16,A07-B10-L2,SKU-0140,4
ORD-1017,17,A08-B06-L1,SKU-0151,1
ORD-1017,18,A09-B01-L2,SKU-0162,12
ORD-1017,19,A03-B03-L1,SKU-0045,8
ORD-1017,20,A03-B04-L2,SKU-0048,6
ORD-1017,21,A07-B02-L2,SKU-0124,4
ORD-1017,22,A07-B08-L1,SKU-0135,2
ORD-1017,23,A07-B03-L1,SKU-0125,2
ORD-1017,24,A07-B05-L1,SKU-0129,1
ORD-1018,1,A02-B08-L2,SKU-0036,2
ORD-1018,2,A04-B10-L2,SKU-0228,4
ORD-1018,3,A05-B04-L2,SKU-0088,2
ORD-1018,4,A08-B02-L1,SKU-0143,11
ORD-1018,5,A08-B02-L2,SKU-0144,5
ORD-1018,6,A08-B04-L2,SKU-0148,6
ORD-1018,7,A08-B05-L1,SKU-0149,6
ORD-1018,8,A08-B06-L2,SKU-0152,7
ORD-1018,9,A08-B07-L1,SKU-0153,7
ORD-1018,10,A08-B08-L1,SKU-0155,9
ORD-1018,11,A08-B08-L2,SKU-0156,10
ORD-1018,12,A08-B09-L1,SKU-0157,3
ORD-1018,13,A08-B10-L2,SKU-0160,11
ORD-1018,14,A09-B06-L2,SKU-0172,5
ORD-1018,15,A06-B04-L2,SKU-0210,4
ORD-1018,16,A08-B09-L2,SKU-0220,5
ORD-1018,17,A08-B09-L2,SKU-0158,1
ORD-1018,18,A08-B05-L2,SKU-0150,7
ORD-1018,19,A08-B10-L1,SKU-0159,3
ORD-1019,1,A01-B01-L2,SKU-0002,9
ORD-1019,2,A05-B02-L2,SKU-0084,5
ORD-1019,3,A05-B07-L1,SKU-0205,11
ORD-1019,4,A06-B02-L1,SKU-0223,9
ORD-1019,5,A06-B03-L2,SKU-0106,4
ORD-1019,6,A06-B04-L1,SKU-0107,7
ORD-1019,7,A06-B10-L2,SKU-0120,6
ORD-1019,8,A07-B04-L2,SKU-0128,3
ORD-1019,9,A09-B01-L1,SKU-0161,8
ORD-1019,10,A09-B02-L1,SKU-0163,12
ORD-1019,11,A09-B03-L1,SKU-0165,7
ORD-1019,12,A09-B03-L2,SKU-0166,1
ORD-1019,13,A09-B04-L1,SKU-0167,9
ORD-1019,14,A09-B04-L2,SKU-0168,1
ORD-1019,15,A09-B05-L1,SKU-0169,5
ORD-1019,16,A09-B06-L1,SKU-0171,3
ORD-1019,17,A09-B08-L2,SKU-0176,2
